nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
1630163.0,11452015,11452015,174123,152484,2026-04-17T19:30:00.000-04:00,,,LaMelo Ball,G,CHA,ORL,12.5,Points,pts,Demon,,3,https://static.prizepicks.com/images/players/NBA/LaMelo_Ball_NBA_player_vSSpDQXCeqiNwRWls7uAuty.webp,2026-04-17,,,,,OK,0,115.4,87.8,41.9,34.0,12.0,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15.0,16,Avg,4432816,nba1q_db,7.0,3.0,6.0,13.0,9.0,6.0,5.0,6.0,3.0,10.0,7.6,6.8,6.8,1.0,4.0,0.0,0.2,0.2,0.8,0.1,0.9,OK,,OK,5.0,1.0,4.0,0.0,0.2,0.8
1641706.0,11451651,11451651,176808,152484,2026-04-17T19:30:00.000-04:00,,,Brandon Miller,F,CHA,ORL,10.5,Points,pts,Demon,5.0,3,https://static.prizepicks.com/images/players/NBA/Brandon_Miller_NBA_player_9WQeuljz80xiUpTgVMGct8zK.webp,2026-04-17,,,,,OK,0,115.4,87.8,41.9,34.0,12.0,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15.0,16,Avg,4433287,nba1q_db,3.0,5.0,8.0,2.0,7.0,5.0,5.0,16.0,2.0,16.0,5.0,6.9,6.9,0.0,5.0,0.0,0.0,0.0,1.0,0.2,0.8,OK,,OK,5.0,0.0,5.0,0.0,0.0,1.0
1630532.0,11451679,11451679,174703,152484,2026-04-17T19:30:00.000-04:00,,,Franz Wagner,F,ORL,CHA,10.5,Points,pts,Demon,4.0,3,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-17,,,,,OK,0,111.3,87.9,41.0,35.6,12.8,20.5,12.6,52.3,28.2,56.4,6,10,8,9,8,16,12,12,1,27,7.720430107526882,7,Elite,4566434,nba1q_db,8.0,6.0,4.0,4.0,6.0,5.0,,,,,5.6,5.5,5.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,OK,5.0,0.0,5.0,0.0,0.0,1.0
1631094.0,11451726,11451726,174702,152484,2026-04-17T19:30:00.000-04:00,,,Paolo Banchero,F,ORL,CHA,10.5,Points,pts,Demon,,3,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-04-17,,,,,OK,0,111.3,87.9,41.0,35.6,12.8,20.5,12.6,52.3,28.2,56.4,6,10,8,9,8,16,12,12,1,27,7.720430107526882,7,Elite,4432573,nba1q_db,8.0,5.0,7.0,9.0,10.0,2.0,5.0,1.0,5.0,4.0,7.8,5.6,5.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,OK,5.0,0.0,5.0,0.0,0.0,1.0
1630163.0,11452014,11452014,174123,152484,2026-04-17T19:30:00.000-04:00,,,LaMelo Ball,G,CHA,ORL,10.5,Points,pts,Demon,,2,https://static.prizepicks.com/images/players/NBA/LaMelo_Ball_NBA_player_vSSpDQXCeqiNwRWls7uAuty.webp,2026-04-17,,,,,OK,0,115.4,87.8,41.9,34.0,12.0,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15.0,16,Avg,4432816,nba1q_db,7.0,3.0,6.0,13.0,9.0,6.0,5.0,6.0,3.0,10.0,7.6,6.8,6.8,1.0,4.0,0.0,0.2,0.2,0.8,0.1,0.9,OK,,OK,5.0,1.0,4.0,0.0,0.2,0.8
1641706.0,11451649,11451649,176808,152484,2026-04-17T19:30:00.000-04:00,,,Brandon Miller,F,CHA,ORL,8.5,Points,pts,Demon,5.0,2,https://static.prizepicks.com/images/players/NBA/Brandon_Miller_NBA_player_9WQeuljz80xiUpTgVMGct8zK.webp,2026-04-17,,,,,OK,0,115.4,87.8,41.9,34.0,12.0,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15.0,16,Avg,4433287,nba1q_db,3.0,5.0,8.0,2.0,7.0,5.0,5.0,16.0,2.0,16.0,5.0,6.9,6.9,0.0,5.0,0.0,0.0,0.0,1.0,0.2,0.8,OK,,OK,5.0,0.0,5.0,0.0,0.0,1.0
1629632.0,11451665,11451665,302617,152484,2026-04-17T19:30:00.000-04:00,,,Coby White,G,CHA,ORL,8.5,Points,pts,Demon,3.5,3,https://static.prizepicks.com/images/manual/coby_white.png,2026-04-17,,,,,OK,0,115.4,87.8,41.9,34.0,12.0,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15.0,16,Avg,4395651,nba1q_db,2.0,10.0,8.0,3.0,5.0,2.0,2.0,7.0,7.0,4.0,5.6,5.0,5.0,1.0,4.0,0.0,0.2,0.2,0.8,0.1,0.9,OK,,OK,5.0,1.0,4.0,0.0,0.2,0.8
1630217.0,11451670,11451670,271629,152484,2026-04-17T19:30:00.000-04:00,,,Desmond Bane,G,ORL,CHA,8.5,Points,pts,Demon,4.0,2,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-17,,,,,OK,0,111.3,87.9,41.0,35.6,12.8,20.5,12.6,52.3,28.2,56.4,6,10,8,9,8,16,12,12,1,27,7.720430107526882,7,Elite,4066320,nba1q_db,7.0,4.0,3.0,2.0,3.0,5.0,6.0,2.0,5.0,5.0,3.8,4.2,4.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,OK,5.0,0.0,5.0,0.0,0.0,1.0
1630532.0,11451678,11451678,174703,152484,2026-04-17T19:30:00.000-04:00,,,Franz Wagner,F,ORL,CHA,8.5,Points,pts,Demon,4.0,2,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-17,,,,,OK,0,111.3,87.9,41.0,35.6,12.8,20.5,12.6,52.3,28.2,56.4,6,10,8,9,8,16,12,12,1,27,7.720430107526882,7,Elite,4566434,nba1q_db,8.0,6.0,4.0,4.0,6.0,5.0,,,,,5.6,5.5,5.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,OK,5.0,0.0,5.0,0.0,0.0,1.0
1642851.0,11451693,11451693,271828,152484,2026-04-17T19:30:00.000-04:00,,,Kon Knueppel,G-F,CHA,ORL,8.5,Points,pts,Demon,4.0,2,https://static.prizepicks.com/images/manual/Kon_Knueppel.png,2026-04-17,,,,,OK,0,115.4,87.8,41.9,34.0,12.0,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15.0,16,Avg,5061575,nba1q_db,5.0,3.0,7.0,5.0,2.0,5.0,3.0,8.0,5.0,3.0,4.4,4.6,4.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,OK,5.0,0.0,5.0,0.0,0.0,1.0
