nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER
202695,10938595,10938595,87456,139684,2026-03-29T15:30:00.000-04:00,,,Kawhi Leonard,F,LAC,MIL,24.5,Fantasy Score,fantasy,Standard,24.5,0,https://static.prizepicks.com/images/players/NBA/Kawhi_Leonard_NBA_player_snbwtwUXlKUpSdRceowleq9a.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
202695,10929569,10929569,87456,139684,2026-03-29T15:30:00.000-04:00,,,Kawhi Leonard,F,LAC,MIL,20.5,Pts+Rebs+Asts,pra,Standard,20.5,0,https://static.prizepicks.com/images/players/NBA/Kawhi_Leonard_NBA_player_snbwtwUXlKUpSdRceowleq9a.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1631157,10938603,10938603,232691,139684,2026-03-29T15:30:00.000-04:00,,,Ryan Rollins,G,MIL,LAC,20.5,Fantasy Score,fantasy,Standard,20.5,0,https://static.prizepicks.com/images/players/NBA/Ryan_Rollins_NBA_player_IPpG6WGpDyZfnDShFjrfJveN.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1629636,10938590,10938590,304026,139684,2026-03-29T15:30:00.000-04:00,,,Darius Garland,G,LAC,MIL,17.5,Fantasy Score,fantasy,Standard,17.5,0,https://static.prizepicks.com/images/manual/Darius_GarlandLAC.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1631157,10929592,10929592,232691,139684,2026-03-29T15:30:00.000-04:00,,,Ryan Rollins,G,MIL,LAC,16.0,Pts+Rebs+Asts,pra,Standard,16.0,0,https://static.prizepicks.com/images/players/NBA/Ryan_Rollins_NBA_player_IPpG6WGpDyZfnDShFjrfJveN.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1629636,10929564,10929564,304026,139684,2026-03-29T15:30:00.000-04:00,,,Darius Garland,G,LAC,MIL,15.0,Pts+Rebs+Asts,pra,Standard,15.0,0,https://static.prizepicks.com/images/manual/Darius_GarlandLAC.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
202695,10929567,10929567,87456,139684,2026-03-29T15:30:00.000-04:00,,,Kawhi Leonard,F,LAC,MIL,14.5,Points,pts,Standard,14.5,0,https://static.prizepicks.com/images/players/NBA/Kawhi_Leonard_NBA_player_snbwtwUXlKUpSdRceowleq9a.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1631097,10938586,10938586,299983,139684,2026-03-29T15:30:00.000-04:00,,,Bennedict Mathurin,G-F,LAC,MIL,14.5,Fantasy Score,fantasy,Standard,14.5,0,https://static.prizepicks.com/images/manual/BennedictMathurin.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1631172,10938602,10938602,300653,139684,2026-03-29T15:30:00.000-04:00,,,Ousmane Dieng,F,MIL,LAC,13.5,Fantasy Score,fantasy,Standard,13.5,0,https://static.prizepicks.com/images/manual/Ousmane_Dieng.png,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1631097,10930123,10930123,299983,139684,2026-03-29T15:30:00.000-04:00,,,Bennedict Mathurin,G-F,LAC,MIL,12.5,Pts+Rebs+Asts,pra,Standard,12.5,0,https://static.prizepicks.com/images/manual/BennedictMathurin.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1626167,10938601,10938601,271948,139684,2026-03-29T15:30:00.000-04:00,,,Myles Turner,C-F,MIL,LAC,12.5,Fantasy Score,fantasy,Standard,12.5,0,https://static.prizepicks.com/images/players/NBA/Myles_Turner_NBA_player_m62QTJhZKxz0vSvMk9qKafM.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1628398,10938600,10938600,227345,139684,2026-03-29T15:30:00.000-04:00,,,Kyle Kuzma,F,MIL,LAC,12.0,Fantasy Score,fantasy,Standard,12.0,0,https://static.prizepicks.com/images/players/NBA/Kyle_Kuzma_NBA_player_CzuU40biz9ZDpj2ZXS5rpoIs.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1631157,10929590,10929590,232691,139684,2026-03-29T15:30:00.000-04:00,,,Ryan Rollins,G,MIL,LAC,10.5,Points,pts,Standard,10.5,0,https://static.prizepicks.com/images/players/NBA/Ryan_Rollins_NBA_player_IPpG6WGpDyZfnDShFjrfJveN.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1629636,10929562,10929562,304026,139684,2026-03-29T15:30:00.000-04:00,,,Darius Garland,G,LAC,MIL,10.0,Points,pts,Standard,10.0,0,https://static.prizepicks.com/images/manual/Darius_GarlandLAC.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1628398,10929574,10929574,227345,139684,2026-03-29T15:30:00.000-04:00,,,Kyle Kuzma,F,MIL,LAC,10.0,Pts+Rebs+Asts,pra,Standard,10.0,0,https://static.prizepicks.com/images/players/NBA/Kyle_Kuzma_NBA_player_CzuU40biz9ZDpj2ZXS5rpoIs.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1631097,10930121,10930121,299983,139684,2026-03-29T15:30:00.000-04:00,,,Bennedict Mathurin,G-F,LAC,MIL,9.5,Points,pts,Standard,9.5,0,https://static.prizepicks.com/images/manual/BennedictMathurin.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1626167,10929722,10929722,271948,139684,2026-03-29T15:30:00.000-04:00,,,Myles Turner,C-F,MIL,LAC,9.0,Pts+Rebs+Asts,pra,Standard,9.0,0,https://static.prizepicks.com/images/players/NBA/Myles_Turner_NBA_player_m62QTJhZKxz0vSvMk9qKafM.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
1628381,10937567,10937567,271972,139684,2026-03-29T15:30:00.000-04:00,,,John Collins,F-C,LAC,MIL,9.0,Pts+Rebs+Asts,pra,Standard,9.0,0,https://static.prizepicks.com/images/players/NBA/John_Collins_NBA_player_WMV9z7yOE8GIHMxTwgR1Vnn9.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
201572,10929720,10929720,271966,139684,2026-03-29T15:30:00.000-04:00,,,Brook Lopez,C,LAC,MIL,8.0,Pts+Rebs+Asts,pra,Standard,8.0,0,https://static.prizepicks.com/images/players/NBA/Brook_Lopez_NBA_player_sTEgltErGtrgSgZJORUQDEpJ.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1627884,10934878,10934878,216777,139684,2026-03-29T15:30:00.000-04:00,,,Derrick Jones,F,LAC,MIL,7.5,Pts+Rebs+Asts,pra,Standard,7.5,0,https://static.prizepicks.com/images/players/NBA/Derrick_Jones_NBA_player_MKbQYj6jC1sOTa7kBUgOqmFZ.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20,29,28,9,13,3,5,5,19,26,15.774193548387096,17,Avg
1631172,10929580,10929580,300653,139684,2026-03-29T15:30:00.000-04:00,,,Ousmane Dieng,F,MIL,LAC,6.5,Points,pts,Standard,6.5,0,https://static.prizepicks.com/images/manual/Ousmane_Dieng.png,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.199999999999996,27.6,55.2,10,16,12,8,9,11,8,8,5,19,9.462365591397848,9,Above Avg
