sport,direction,pick_type,prop,bin_index,mean_pred,mean_true,gap,n_stratum
CBB,OVER,Goblin,ast,0,0.5323804304350571,0.6,0.06761956956494286,597
CBB,OVER,Goblin,ast,1,0.6198799354837987,0.5333333333333333,0.08654660215046539,597
CBB,OVER,Goblin,ast,2,0.6725718568890081,0.684931506849315,0.012359649960306918,597
CBB,OVER,Goblin,ast,3,0.7729653545542543,0.5434782608695652,0.22948709368468911,597
CBB,OVER,Goblin,ast,4,0.9029904941540381,0.5666666666666667,0.33632382748737144,597
CBB,OVER,Goblin,ast,5,0.908574725807467,0.6440677966101694,0.26450692919729757,597
CBB,OVER,Goblin,ast,6,0.9099538338451868,0.6333333333333333,0.2766205005118535,597
CBB,OVER,Goblin,ast,7,0.9113702906382115,0.7796610169491526,0.13170927368905894,597
CBB,OVER,Goblin,ast,8,0.9164958374893953,0.6166666666666667,0.29982917082272864,597
CBB,OVER,Goblin,ast,9,0.9248270140957874,0.7166666666666667,0.2081603474291207,597
CBB,OVER,Goblin,blk,0,0.5369432675752528,0.42857142857142855,0.10837183900382424,124
CBB,OVER,Goblin,blk,1,0.6541763115989556,0.631578947368421,0.0225973642305346,124
CBB,OVER,Goblin,blk,2,0.7332477879086853,0.5,0.23324778790868528,124
CBB,OVER,Goblin,blk,3,0.8444962908220404,0.46153846153846156,0.3829578292835788,124
CBB,OVER,Goblin,blk,4,0.908949979449237,0.6666666666666666,0.24228331278257043,124
CBB,OVER,Goblin,blk,5,0.9143913231217922,0.3076923076923077,0.6066990154294845,124
CBB,OVER,Goblin,blk,6,0.9169209836561164,0.5,0.4169209836561164,124
CBB,OVER,Goblin,blk,7,0.9173934660927859,0.6666666666666666,0.2507267994261193,124
CBB,OVER,Goblin,blk,8,0.9177663177516368,0.5,0.41776631775163675,124
CBB,OVER,Goblin,blk,9,0.9183571125426128,0.5384615384615384,0.3798955740810743,124
CBB,OVER,Goblin,fantasy score,0,0.9031614021654046,0.45454545454545453,0.4486159476199501,106
CBB,OVER,Goblin,fantasy score,1,0.9054952509000539,0.5454545454545454,0.3600407054455085,106
CBB,OVER,Goblin,fantasy score,2,0.9070783108856147,0.7,0.2070783108856148,106
CBB,OVER,Goblin,fantasy score,3,0.907923534110081,0.7272727272727273,0.18065080683735368,106
CBB,OVER,Goblin,fantasy score,4,0.9087759571346059,0.8,0.10877595713460586,106
CBB,OVER,Goblin,fantasy score,5,0.9095443170622229,0.6363636363636364,0.2731806806985866,106
CBB,OVER,Goblin,fantasy score,6,0.9102810977607282,0.6,0.3102810977607282,106
CBB,OVER,Goblin,fantasy score,7,0.9107524342063263,0.8181818181818182,0.09257061602450811,106
CBB,OVER,Goblin,fantasy score,8,0.9111881138912888,0.5,0.41118811389128884,106
CBB,OVER,Goblin,fantasy score,9,0.9129424020492052,0.8181818181818182,0.09476058386738695,106
CBB,OVER,Goblin,fg3m,0,0.5257789139477617,0.5,0.02577891394776166,274
CBB,OVER,Goblin,fg3m,1,0.6000914684561796,0.6744186046511628,0.07432713619498321,274
CBB,OVER,Goblin,fg3m,2,0.6295579075813293,0.375,0.25455790758132935,274
CBB,OVER,Goblin,fg3m,3,0.6702705022320303,0.6785714285714286,0.008300926339398274,274
CBB,OVER,Goblin,fg3m,4,0.7757958173423802,0.6818181818181818,0.09397763552419847,274
CBB,OVER,Goblin,fg3m,5,0.9053225521404237,0.5555555555555556,0.3497669965848681,274
CBB,OVER,Goblin,fg3m,6,0.9106256575180272,0.6428571428571429,0.26776851466088425,274
CBB,OVER,Goblin,fg3m,7,0.9161166734384736,0.5555555555555556,0.360561117882918,274
CBB,OVER,Goblin,fg3m,8,0.9175992502181997,0.5925925925925926,0.3250066576256071,274
CBB,OVER,Goblin,fg3m,9,0.9211113795517799,0.8928571428571429,0.028254236694637003,274
CBB,OVER,Goblin,pr,0,0.578286629242313,0.43478260869565216,0.14350402054666084,201
CBB,OVER,Goblin,pr,1,0.6106465941383725,0.42857142857142855,0.18207516556694398,201
CBB,OVER,Goblin,pr,2,0.654209469595263,0.5806451612903226,0.07356430830494043,201
CBB,OVER,Goblin,pr,3,0.7604366727074693,0.6666666666666666,0.09377000604080266,201
CBB,OVER,Goblin,pr,4,0.9059793902054576,0.4,0.5059793902054576,201
CBB,OVER,Goblin,pr,5,0.9083717402746917,0.6666666666666666,0.24170507360802507,201
CBB,OVER,Goblin,pr,6,0.9093119229143398,0.631578947368421,0.2777329755459188,201
CBB,OVER,Goblin,pr,7,0.910101743358293,0.65,0.26010174335829295,201
CBB,OVER,Goblin,pr,8,0.9113471461659863,0.7,0.21134714616598638,201
CBB,OVER,Goblin,pr,9,0.9241124374919242,0.75,0.17411243749192418,201
CBB,OVER,Goblin,pra,0,0.5135605404192048,0.6140350877192983,0.10047454730009342,564
CBB,OVER,Goblin,pra,1,0.5993381582440073,0.6506024096385542,0.051264251394546934,564
CBB,OVER,Goblin,pra,2,0.6297992176787798,0.5348837209302325,0.09491549674854727,564
CBB,OVER,Goblin,pra,3,0.7945811671432931,0.5581395348837209,0.23644163225957215,564
CBB,OVER,Goblin,pra,4,0.9021203544291758,0.4642857142857143,0.4378346401434615,564
CBB,OVER,Goblin,pra,5,0.9057542802682567,0.39285714285714285,0.5128971374111138,564
CBB,OVER,Goblin,pra,6,0.9075562589870352,0.543859649122807,0.36369660986422814,564
CBB,OVER,Goblin,pra,7,0.9089346586021546,0.6607142857142857,0.2482203728878689,564
CBB,OVER,Goblin,pra,8,0.9103807062145701,0.6607142857142857,0.24966642050028443,564
CBB,OVER,Goblin,pra,9,0.9206913988696146,0.6491228070175439,0.2715685918520707,564
CBB,OVER,Goblin,pts,0,0.5686695042930647,0.6225165562913907,0.05384705199832596,1251
CBB,OVER,Goblin,pts,1,0.6335666043487787,0.5922330097087378,0.04133359464004083,1251
CBB,OVER,Goblin,pts,2,0.675877536898932,0.680327868852459,0.004450331953526954,1251
CBB,OVER,Goblin,pts,3,0.8891758065365799,0.464,0.4251758065365799,1251
CBB,OVER,Goblin,pts,4,0.906443358398907,0.552,0.35444335839890695,1251
CBB,OVER,Goblin,pts,5,0.9079996729654032,0.616,0.2919996729654032,1251
CBB,OVER,Goblin,pts,6,0.9092850863298795,0.624,0.2852850863298795,1251
CBB,OVER,Goblin,pts,7,0.9104190332303554,0.608,0.30241903323035546,1251
CBB,OVER,Goblin,pts,8,0.9114931420738474,0.712,0.19949314207384738,1251
CBB,OVER,Goblin,pts,9,0.9255007820910944,0.8,0.1255007820910944,1251
CBB,OVER,Goblin,reb,0,0.48634621658970156,0.5754716981132075,0.08912548152350597,868
CBB,OVER,Goblin,reb,1,0.5908744589564725,0.65,0.05912554104352752,868
CBB,OVER,Goblin,reb,2,0.6392250184742481,0.56,0.07922501847424801,868
CBB,OVER,Goblin,reb,3,0.6755886510029302,0.6666666666666666,0.008921984336263566,868
CBB,OVER,Goblin,reb,4,0.8782052502901987,0.6162790697674418,0.26192618052275685,868
CBB,OVER,Goblin,reb,5,0.9060652930760699,0.5172413793103449,0.388823913765725,868
CBB,OVER,Goblin,reb,6,0.9079278923653514,0.5930232558139535,0.3149046365513979,868
CBB,OVER,Goblin,reb,7,0.9093777151570843,0.632183908045977,0.2771938071111073,868
CBB,OVER,Goblin,reb,8,0.9100541594061408,0.7471264367816092,0.1629277226245316,868
CBB,OVER,Goblin,reb,9,0.9163771092277314,0.6666666666666666,0.24971044256106478,868
CBB,OVER,Goblin,stl,0,0.5657697723440889,0.6851851851851852,0.11941541284109636,391
CBB,OVER,Goblin,stl,1,0.6283714164531546,0.6153846153846154,0.012986801068539222,391
CBB,OVER,Goblin,stl,2,0.7127419283009582,0.6052631578947368,0.10747877040622134,391
CBB,OVER,Goblin,stl,3,0.8247118866357581,0.5384615384615384,0.2862503481742197,391
CBB,OVER,Goblin,stl,4,0.9074569121527054,0.6153846153846154,0.29207229676809,391
CBB,OVER,Goblin,stl,5,0.9154025589688219,0.6923076923076923,0.22309486666112965,391
CBB,OVER,Goblin,stl,6,0.9170592620204704,0.5128205128205128,0.4042387491999576,391
CBB,OVER,Goblin,stl,7,0.9174916426816956,0.6153846153846154,0.30210702729708017,391
CBB,OVER,Goblin,stl,8,0.9178569640899611,0.6923076923076923,0.2255492717822688,391
CBB,OVER,Goblin,stl,9,0.9203914855536038,0.7435897435897436,0.17680174196386023,391
CBB,OVER,Goblin,tov,0,0.4019838245850746,0.6521739130434783,0.2501900884584037,226
CBB,OVER,Goblin,tov,1,0.5835357511433172,0.7027027027027027,0.1191669515593855,226
CBB,OVER,Goblin,tov,2,0.6280457534324891,0.5555555555555556,0.07249019787693356,226
CBB,OVER,Goblin,tov,3,0.6536032619369231,0.391304347826087,0.2622989141108361,226
CBB,OVER,Goblin,tov,4,0.681305112539735,0.47619047619047616,0.20511463634925886,226
CBB,OVER,Goblin,tov,5,0.7439802956546696,0.6956521739130435,0.04832812174162615,226
CBB,OVER,Goblin,tov,6,0.8376612100774075,0.3181818181818182,0.5194793918955893,226
CBB,OVER,Goblin,tov,7,0.8995528154338114,0.5217391304347826,0.3778136849990288,226
CBB,OVER,Goblin,tov,8,0.9100485170497383,0.6818181818181818,0.22823033523155656,226
CBB,OVER,Goblin,tov,9,0.9167707777709523,0.7391304347826086,0.17764034298834364,226
CBB,OVER,Standard,ast,0,0.37445420972579907,0.5,0.12554579027420093,160
CBB,OVER,Standard,ast,1,0.49631197812741706,0.4375,0.058811978127417064,160
CBB,OVER,Standard,ast,2,0.5547115973240396,0.3333333333333333,0.22137826399070631,160
CBB,OVER,Standard,ast,3,0.6007917256425809,0.5714285714285714,0.02936315421400948,160
CBB,OVER,Standard,ast,4,0.6895616072577286,0.4375,0.25206160725772864,160
CBB,OVER,Standard,ast,5,0.8311963776049159,0.5625,0.26869637760491594,160
CBB,OVER,Standard,ast,6,0.9008803785403421,0.5625,0.3383803785403421,160
CBB,OVER,Standard,ast,7,0.9061542299011098,0.5,0.40615422990110983,160
CBB,OVER,Standard,ast,8,0.9081466324705753,0.4375,0.47064663247057525,160
CBB,OVER,Standard,ast,9,0.9106358435812537,0.6875,0.2231358435812537,160
CBB,OVER,Standard,pa,0,0.40674787616654745,0.45454545454545453,0.04779757837890708,437
CBB,OVER,Standard,pa,1,0.5569576934342972,0.5102040816326531,0.04675361180164417,437
