category,field,step7,step8,full_slate,enrichment,tickets,gap
Identity / game context,sport,Yes,Yes,Yes,Yes,Yes,
Identity / game context,player,Yes,Yes,Yes,Yes,Yes,
Identity / game context,team,Yes,Yes,Yes,Yes,Yes,
Identity / game context,opp,Yes,Yes,Yes,Yes,Yes,
Identity / game context,game_time,Yes,Yes,Yes,Passthrough,Yes,
Identity / game context,game_date,Yes,Partial,Partial,Passthrough,Partial,Add game_date to Full Slate column order (in step8 CSV; often omitted on FS sheet)
Identity / game context,game_id,Partial,Partial,No,No,No,Optional; not required for read model
Market,prop_type,Yes,Yes,Yes,Yes,Yes,
Market,direction,Yes,Yes,Yes,Yes,Yes,
Market,pick_type,Yes,Yes,Yes,Yes,Yes,
Market,line,Yes,Yes,Yes,Yes,Yes,
Market,standard_line,Yes,Partial,Partial,Derived,Partial,On step8; enrichment computes line_delta_vs_standard; export standard_line consistently to FS
Market,line_delta_vs_standard,In-score,No,Partial,Derived,Yes,Direction-aware delta; enrichment + tickets
Market,open_line,Partial,Yes,Yes,Passthrough,Partial,MLB/WNBA/NHL step8; FS Open Line filled 06-02
Market,line_movement,Partial,Yes,Yes,Passthrough,Partial,MLB/WNBA/NHL step8; FS Line Movement filled 06-02
Market,line_direction_shift,Partial,Yes,Partial,Passthrough,No,On step8; FS Line Shift intermittent
Player form,l5_over,Yes,Yes,Yes,Passthrough,Yes,Trust L5 for MLB when L10 empty
Player form,l5_under,Yes,Yes,Yes,Passthrough,Yes,
Player form,l10_over,Yes,Partial,Partial,Passthrough,Partial,MLB/NHL often 0 fill on FS; WNBA/Tennis better
Player form,l10_under,Yes,Partial,Partial,Passthrough,Partial,Same as l10_over
Player form,season_avg,Yes,Yes,Yes,Passthrough,Yes,
Player form,stat_last5_avg,Yes,Passthrough,Partial,Passthrough,No,Upstream step5; may appear as l5_avg on FS
Player form,stat_last10_avg,Yes,Passthrough,Partial,Passthrough,No,Often empty MLB/NHL on FS
Player form,stat_g1..stat_g10,Yes,Passthrough,Partial,Derived,Partial,Step8 dist_std precompute all active sports; G cols on FS (NHL G1-G10)
Player form,hit_rate / composite_hit_rate,Yes,Yes,Yes,Derived,Yes,Feeds enrichment probability chain
Model projection / edge / rank,projection,Yes,Yes,Yes,Passthrough,Yes,
Model projection / edge / rank,edge,Yes,Yes,Yes,Passthrough,Yes,
Model projection / edge / rank,abs_edge,Yes,Partial,Yes,Passthrough,Yes,
Model projection / edge / rank,edge_signed,In-score,No,Partial,Derived,Yes,Direction-aware; enrichment + tickets
Model projection / edge / rank,edge_pct_vs_line,In-score,No,Partial,Derived,Yes,Enrichment derived
Model projection / edge / rank,edge_adj / edge_adj_dr,Yes,Partial,Partial,No,No,Step7 rank driver; not on read export bundle
Model projection / edge / rank,rank_score,Yes,Yes,Yes,Passthrough,Partial,Step7 does heavy lifting; WNBA pick_type_eligible ~52% is rules not missing rank
Model projection / edge / rank,rank_score_penalized,Yes,Yes,Yes,Passthrough,No,Flags void/penalized WNBA rows on FS
Model projection / edge / rank,tier,Yes,Yes,Yes,Passthrough,Yes,
Model projection / edge / rank,ml_prob,Yes,Partial,Partial,Passthrough,Partial,NHL strong; MLB/WNBA/Tennis FS Ml Prob often empty — trust step7 artifact
Model projection / edge / rank,ml_edge,Yes,Partial,Partial,No,No,NHL step7; not on ticket legs
Model projection / edge / rank,blended_score,Yes,Partial,No,No,No,In step7; not exported to read model
Model projection / edge / rank,rank_edge_component,In-score,No,Partial,Derived,Yes,Enrichment transparent rank
Model projection / edge / rank,rank_prob_component,In-score,No,Partial,Derived,Yes,
Model projection / edge / rank,rank_consistency_component,In-score,No,Partial,Derived,Yes,
Model projection / edge / rank,rank_matchup_component,In-score,No,Partial,Derived,Yes,
Model projection / edge / rank,rank_tier_component,In-score,No,Partial,Derived,Yes,
