projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
10978822,218657,Adam Fox,NYR,D,Time On Ice,23.5,standard,False,NJ,,,2026-03-31T19:00:00.000-04:00,140142,2026-03-31T11:33:13Z,time_on_ice,SKATER,NJ,0,8479323,False,,3.029,0.0,0.0,2.71,0.0,0.0,69.0,12.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.3,3,7,10,0.35,7,13,20,0.4,30,0.3575,UNDER,0.1425,D,D,SECONDARY,PP_REGULAR,0.894,0.128,0.383,23.68
10978820,173364,Luke Hughes,NJ,D,Time On Ice,22.5,standard,False,NYR,,,2026-03-31T19:00:00.000-04:00,140142,2026-03-31T11:33:13Z,time_on_ice,SKATER,NYR,0,8482684,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.5,5,5,10,0.45,9,11,20,0.5333,30,0.4558,UNDER,0.0442,D,D,DEPTH,PP_OCC,0.54,0.095,0.19,22.88
10978819,218073,Jack Hughes,NJ,F,Time On Ice,21.75,standard,False,NYR,,,2026-03-31T19:00:00.000-04:00,140142,2026-03-31T11:33:13Z,time_on_ice,SKATER,NYR,0,8448071,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,UNDER,0.5,D,D,SHUTDOWN,NO_PP,0.0,0.0,0.0,
10978821,218655,Mika Zibanejad,NYR,F,Time On Ice,21,standard,False,NJ,,,2026-03-31T19:00:00.000-04:00,140142,2026-03-31T11:33:13Z,time_on_ice,SKATER,NJ,0,8476459,False,,3.029,0.0,0.0,2.71,0.0,0.0,69.0,12.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.5,5,5,10,0.6,12,8,20,0.5667,30,0.5617,OVER,0.0617,C,F,ELITE,PP1_STAR,0.945,0.438,0.425,20.93
10978824,218571,Moritz Seider,DET,D,Time On Ice,26.5,standard,False,PIT,DET,PIT,2026-03-31T19:00:00.000-04:00,140140,2026-03-31T11:33:13Z,time_on_ice,SKATER,PIT,0,8481542,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.4,4,6,10,0.45,9,11,20,0.5333,30,0.5008,OVER,0.0008,D,D,SECONDARY,PP_REGULAR,0.726,0.123,0.315,25.72
10978825,218278,Kris Letang,PIT,D,Time On Ice,21.75,standard,False,DET,DET,PIT,2026-03-31T19:00:00.000-04:00,140140,2026-03-31T11:33:13Z,time_on_ice,SKATER,DET,1,8471724,False,,2.957,0.0,0.0,2.942,0.0,0.0,69.0,9.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.6,6,4,10,0.5,10,10,20,0.6667,30,0.5917,OVER,0.0917,D,D,DEPTH,PP_OCC,0.441,0.044,0.132,21.92
10978823,218570,Dylan Larkin,DET,F,Time On Ice,21.5,standard,False,PIT,DET,PIT,2026-03-31T19:00:00.000-04:00,140140,2026-03-31T11:33:13Z,time_on_ice,SKATER,PIT,0,8477946,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.4,4,6,10,0.3,6,14,20,0.2667,30,0.4517,UNDER,0.0483,C,F,SECONDARY,PP_REGULAR,0.864,0.439,0.303,20.32
10978831,218272,Travis Sanheim,PHI,D,Time On Ice,25.25,standard,False,WSH,PHI,WSH,2026-03-31T19:00:00.000-04:00,140144,2026-03-31T11:33:13Z,time_on_ice,SKATER,WSH,0,8477948,False,,2.929,0.0,0.0,3.114,0.0,0.0,70.0,8.0,ELITE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.6,3,2,5,0.4,4,6,10,0.35,7,13,20,0.2333,30,0.4558,UNDER,0.0442,D,D,DEPTH,NO_PP,0.425,0.11,0.041,24.25
10978833,219643,Jakob Chychrun,WSH,D,Time On Ice,22,standard,False,PHI,PHI,WSH,2026-03-31T19:00:00.000-04:00,140144,2026-03-31T11:33:13Z,time_on_ice,SKATER,PHI,1,8479345,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.5,5,5,10,0.75,15,5,20,0.7667,30,0.5242,OVER,0.0242,D,D,SECONDARY,PP_OCC,0.736,0.319,0.194,23.55
10978830,218222,Travis Konecny,PHI,F,Time On Ice,20.25,standard,False,WSH,PHI,WSH,2026-03-31T19:00:00.000-04:00,140144,2026-03-31T11:33:13Z,time_on_ice,SKATER,WSH,0,8478439,False,,2.929,0.0,0.0,3.114,0.0,0.0,70.0,8.0,ELITE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.5,5,5,10,0.45,9,11,20,0.3667,30,0.4392,UNDER,0.0608,R,F,ELITE,PP_REGULAR,0.913,0.377,0.203,19.27
